step,is_end,oos_period,best_bias_swing,best_ob_swing,best_sl_buffer,best_min_rr,is_signals,is_decided,is_expectancy,is_avg_expectancy,is_best_vs_avg_ratio,oos_signals,oos_decided,oos_win_rate,oos_total_rr,oos_expectancy
0,2023-04-01,2023-04-01→2023-07-01,10,10,50,0.5,2,2,0.2966,0.0989,3.0,27,27,92.5925925925926,20.65,0.7647
1,2023-05-01,2023-05-01→2023-08-01,10,10,50,1.5,2,1,1.6983,1.1475,1.48,12,12,83.33333333333334,16.93,1.4108
2,2023-06-01,2023-06-01→2023-09-01,10,10,50,1.5,4,4,2.0401,1.3968,1.46,20,18,100.0,34.42,1.9122
3,2023-07-01,2023-07-01→2023-10-01,10,10,25,0.5,30,30,0.7636,0.9106,0.84,114,111,93.69369369369369,89.8,0.809
4,2023-08-01,2023-08-01→2023-11-01,10,10,25,0.5,47,47,0.9162,1.1665,0.79,124,121,94.21487603305785,106.64,0.8813
5,2023-09-01,2023-09-01→2023-12-01,10,10,50,1.0,46,44,1.3402,1.294,1.04,51,51,80.3921568627451,52.42,1.0278
6,2023-10-01,2023-10-01→2024-01-01,10,10,50,1.5,37,34,1.476,1.1579,1.27,18,17,88.23529411764706,38.92,2.2895
7,2023-11-01,2023-11-01→2024-02-01,10,10,25,1.5,44,43,1.8023,1.3653,1.32,12,12,58.333333333333336,9.06,0.7554
8,2023-12-01,2023-12-01→2024-03-01,10,10,25,1.5,50,50,1.694,1.2172,1.39,11,11,72.72727272727273,12.91,1.1738
9,2024-01-01,2024-01-01→2024-04-01,10,10,25,1.5,55,54,1.7515,1.2037,1.46,10,10,100.0,15.42,1.5416
10,2024-02-01,2024-02-01→2024-05-01,10,10,25,1.5,57,57,1.5923,1.1189,1.42,23,23,100.0,41.27,1.7942
11,2024-03-01,2024-03-01→2024-06-01,10,10,25,1.5,62,62,1.5965,1.131,1.41,24,24,100.0,40.58,1.6908
12,2024-04-01,2024-04-01→2024-07-01,10,10,25,1.5,68,68,1.5816,1.1155,1.42,23,23,100.0,45.25,1.9676
13,2024-05-01,2024-05-01→2024-08-01,10,10,25,1.5,81,81,1.6469,1.1734,1.4,13,13,76.92307692307693,14.87,1.144
14,2024-06-01,2024-06-01→2024-09-01,10,10,25,1.5,87,87,1.6251,1.1577,1.4,12,12,58.333333333333336,15.24,1.2696
15,2024-07-01,2024-07-01→2024-10-01,10,10,25,1.5,93,93,1.6682,1.1863,1.41,12,11,100.0,20.61,1.8735
16,2024-08-01,2024-08-01→2024-11-01,10,10,25,1.5,96,96,1.5795,1.135,1.39,21,20,100.0,38.76,1.9381
17,2024-09-01,2024-09-01→2024-12-01,10,10,25,1.5,102,102,1.5866,1.1485,1.38,28,28,92.85714285714286,45.71,1.6325
18,2024-10-01,2024-10-01→2025-01-01,10,10,25,1.5,114,113,1.6167,1.1739,1.38,21,21,85.71428571428571,29.14,1.3878
19,2024-11-01,2024-11-01→2025-02-01,10,10,25,1.5,123,122,1.6462,1.1995,1.37,14,14,78.57142857142857,15.52,1.1086
20,2024-12-01,2024-12-01→2025-03-01,10,10,25,1.5,132,132,1.6094,1.1888,1.35,10,10,50.0,2.98,0.2984
21,2025-01-01,2025-01-01→2025-04-01,10,10,25,1.5,135,135,1.5906,1.1802,1.35,9,8,50.0,3.97,0.4967
22,2025-02-01,2025-02-01→2025-05-01,10,10,25,1.5,139,139,1.5509,1.16,1.34,7,6,83.33333333333334,8.67,1.4448
23,2025-03-01,2025-03-01→2025-06-01,10,10,25,1.5,142,142,1.5171,1.1385,1.33,12,12,58.333333333333336,7.42,0.6184
24,2025-04-01,2025-04-01→2025-07-01,10,10,25,1.5,144,143,1.5294,1.1426,1.34,20,20,65.0,14.72,0.7362
25,2025-05-01,2025-05-01→2025-08-01,10,10,25,1.5,151,150,1.5078,1.1224,1.34,18,18,61.111111111111114,11.63,0.6464
26,2025-06-01,2025-06-01→2025-09-01,10,10,25,1.5,155,155,1.4589,1.0901,1.34,13,12,66.66666666666666,10.14,0.845
27,2025-07-01,2025-07-01→2025-10-01,10,10,25,1.5,164,164,1.4161,1.0671,1.33,7,7,57.14285714285714,4.63,0.6611
28,2025-08-01,2025-08-01→2025-11-01,10,10,25,1.5,171,171,1.3857,1.0509,1.32,26,23,69.56521739130434,36.53,1.5881
29,2025-09-01,2025-09-01→2025-12-01,10,10,25,1.5,173,172,1.3845,1.0515,1.32,26,24,66.66666666666666,35.13,1.4638
30,2025-10-01,2025-10-01→2026-01-01,10,10,25,1.5,176,176,1.3418,1.0176,1.32,37,37,67.56756756756756,47.66,1.2881
31,2025-11-01,2025-11-01→2026-02-01,10,10,25,1.5,198,195,1.4085,1.0678,1.32,20,20,70.0,20.08,1.0042
32,2025-12-01,2025-12-01→2026-03-01,10,10,25,1.5,206,204,1.3675,1.0393,1.32,19,18,83.33333333333334,26.61,1.4786
33,2026-01-01,2026-01-01→2026-04-01,10,10,25,1.5,217,217,1.3433,1.0299,1.3,11,10,70.0,10.84,1.0839
34,2026-02-01,2026-02-01→2026-05-01,10,10,25,1.5,218,218,1.3474,1.0242,1.32,13,12,66.66666666666666,9.99,0.8329
35,2026-03-01,2026-03-01→2026-06-01,10,10,25,1.5,225,224,1.3668,1.0368,1.32,6,6,33.33333333333333,-2.02,-0.3374
36,2026-04-01,2026-04-01→2026-07-01,10,10,25,1.5,228,227,1.3319,1.0035,1.33,11,11,63.63636363636363,14.23,1.2941
