step,oos_start,oos_end,ticker,signal_time,direction,entry,sl,tp1,rr1,outcome,actual_rr,params_used
0,2023-04-01,2023-05-01,ENPG,2023-04-04 08:00:00+00:00,BUY,435.0,420.495,444.5,0.7,WIN_TP1,0.6220268872802481,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,ENPG,2023-04-28 12:00:00+00:00,BUY,460.5,452.995,482.0,2.9,EXPIRED,,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,NVTK,2023-04-12 08:00:00+00:00,BUY,1230.59998,1204.995,1254.8,0.9,WIN_TP1,0.7750414978648689,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,NVTK,2023-04-27 08:00:00+00:00,BUY,1316.59998,1297.995,1329.0,0.7,WIN_TP1,0.516008404846445,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,FLOT,2023-04-24 08:00:00+00:00,BUY,58.98,58.095,59.85,1.0,WIN_TP1,0.8267254237288132,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,CHMF,2023-04-04 12:00:00+00:00,BUY,1041.19995,1027.995,1048.0,0.5,WIN_TP1,0.2949920393488814,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,CHMF,2023-04-17 08:00:00+00:00,BUY,1027.0,1012.59498,1038.4,0.8,WIN_TP1,0.6146340650689834,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,PHOR,2023-04-19 12:00:00+00:00,BUY,7199.0,7149.995,7249.0,1.0,WIN_TP1,0.6180512192633414,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,AFKS,2023-04-07 08:00:00+00:00,BUY,14.74,14.465,15.0,0.9,WIN_TP1,0.7606400000000002,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,NLMK,2023-04-04 12:00:00+00:00,BUY,132.38,130.515,133.9,0.8,WIN_TP1,0.6154487935656846,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,FESH,2023-04-07 08:00:00+00:00,BUY,37.15,36.285,37.78,0.7,WIN_TP1,0.5883352601156071,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,FESH,2023-04-21 08:00:00+00:00,BUY,48.04,46.555,49.76,1.2,WIN_TP1,1.1158895622895622,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,ETLN,2023-04-19 12:00:00+00:00,BUY,62.48,61.035,63.4,0.6,WIN_TP1,0.4875792387543253,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,SNGS,2023-04-10 12:00:00+00:00,BUY,24.94,24.11,25.575,0.8,WIN_TP1,0.721874698795181,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-05-01,SNGS,2023-04-19 12:00:00+00:00,BUY,24.83,24.51,25.43,1.9,WIN_TP1,1.6982562499999978,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
1,2023-05-01,2023-06-01,NVTK,2023-05-23 08:00:00+00:00,BUY,1273.59998,1258.39502,1307.4,2.2,WIN_TP1,1.982218437404637,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
