step,is_end,oos_period,best_bias_swing,best_ob_swing,best_sl_buffer,best_min_rr,is_signals,is_decided,is_expectancy,is_avg_expectancy,is_best_vs_avg_ratio,oos_signals,oos_decided,oos_win_rate,oos_total_rr,oos_expectancy
0,2023-04-01,2023-04-01→2023-05-01,10,10,25,1.0,1,1,0.88,0.4882,1.8,13,13,92.3076923076923,12.91,0.9929
1,2023-05-01,2023-05-01→2023-06-01,10,10,25,0.5,34,34,0.6589,0.8623,0.76,53,52,90.38461538461539,39.03,0.7507
2,2023-06-01,2023-06-01→2023-07-01,10,10,25,1.0,41,40,1.1654,1.1439,1.02,0,0,0.0,0.0,0.0
3,2023-07-01,2023-07-01→2023-08-01,10,10,25,1.0,42,42,1.103,1.0638,1.04,10,10,100.0,15.13,1.5131
4,2023-08-01,2023-08-01→2023-09-01,10,10,25,1.0,52,52,1.1818,1.1472,1.03,30,30,96.66666666666667,38.68,1.2893
5,2023-09-01,2023-09-01→2023-10-01,10,10,50,1.5,42,42,1.5903,1.1898,1.34,14,14,85.71428571428571,19.39,1.3853
6,2023-10-01,2023-10-01→2023-11-01,10,10,50,1.5,57,57,1.5605,1.1644,1.34,11,11,90.9090909090909,13.57,1.2339
7,2023-11-01,2023-11-01→2023-12-01,10,10,50,1.5,68,68,1.5076,1.1313,1.33,14,14,78.57142857142857,10.34,0.7384
8,2023-12-01,2023-12-01→2024-01-01,10,10,25,1.5,84,84,1.379,1.0371,1.33,3,3,33.33333333333333,-0.08,-0.0263
9,2024-01-01,2024-01-01→2024-02-01,10,10,25,1.5,88,88,1.3266,0.984,1.35,0,0,0.0,0.0,0.0
10,2024-02-01,2024-02-01→2024-03-01,10,10,25,1.5,89,89,1.2946,0.9652,1.34,2,2,100.0,2.22,1.1088
11,2024-03-01,2024-03-01→2024-04-01,10,10,25,1.5,95,95,1.2767,0.9423,1.35,10,10,90.0,11.61,1.1612
12,2024-04-01,2024-04-01→2024-05-01,10,10,25,1.5,105,105,1.2657,0.9415,1.34,10,10,90.0,15.08,1.508
13,2024-05-01,2024-05-01→2024-06-01,10,10,25,1.5,115,115,1.2867,0.9517,1.35,8,8,100.0,14.49,1.8118
14,2024-06-01,2024-06-01→2024-07-01,10,10,25,1.5,123,123,1.3209,0.9667,1.37,5,5,100.0,7.74,1.548
15,2024-07-01,2024-07-01→2024-08-01,10,10,25,1.5,128,128,1.3298,0.9596,1.39,0,0,0.0,0.0,0.0
16,2024-08-01,2024-08-01→2024-09-01,10,10,25,1.5,134,134,1.2764,0.9293,1.37,8,8,100.0,12.72,1.5902
17,2024-09-01,2024-09-01→2024-10-01,10,10,25,1.5,144,144,1.2887,0.9452,1.36,23,22,68.18181818181817,22.08,1.0035
18,2024-10-01,2024-10-01→2024-11-01,10,10,100,1.5,165,164,1.2598,0.93,1.35,6,6,100.0,10.0,1.6666
19,2024-11-01,2024-11-01→2024-12-01,10,10,100,1.5,172,172,1.2859,0.9479,1.36,8,6,66.66666666666666,7.84,1.3066
20,2024-12-01,2024-12-01→2025-01-01,10,10,100,1.5,180,178,1.2866,0.9509,1.35,12,12,83.33333333333334,18.87,1.5728
21,2025-01-01,2025-01-01→2025-02-01,10,10,100,1.5,192,192,1.2933,0.9548,1.35,8,8,87.5,18.88,2.3594
22,2025-02-01,2025-02-01→2025-03-01,10,10,100,1.5,200,200,1.3359,0.9822,1.36,0,0,0.0,0.0,0.0
23,2025-03-01,2025-03-01→2025-04-01,10,10,100,1.5,200,200,1.3359,0.9788,1.36,16,16,62.5,7.65,0.4781
24,2025-04-01,2025-04-01→2025-05-01,10,10,100,1.5,218,218,1.2483,0.9285,1.34,19,19,78.94736842105263,24.82,1.3064
25,2025-05-01,2025-05-01→2025-06-01,10,10,100,1.5,237,237,1.253,0.9393,1.33,8,8,50.0,2.74,0.3423
26,2025-06-01,2025-06-01→2025-07-01,10,10,25,1.5,250,250,1.2236,0.9154,1.34,8,8,87.5,11.51,1.4386
27,2025-07-01,2025-07-01→2025-08-01,10,10,100,1.5,255,255,1.2238,0.9042,1.35,12,12,83.33333333333334,13.37,1.114
28,2025-08-01,2025-08-01→2025-09-01,10,10,25,1.5,275,275,1.2232,0.9013,1.36,2,2,50.0,0.69,0.3435
29,2025-09-01,2025-09-01→2025-10-01,10,10,25,1.5,278,278,1.2186,0.8968,1.36,0,0,0.0,0.0,0.0
30,2025-10-01,2025-10-01→2025-11-01,10,10,25,1.5,280,280,1.2008,0.8862,1.36,18,18,88.88888888888889,33.36,1.8532
31,2025-11-01,2025-11-01→2025-12-01,10,10,25,1.5,299,299,1.2406,0.9094,1.36,19,17,76.47058823529412,19.94,1.1731
32,2025-12-01,2025-12-01→2026-01-01,10,10,25,1.5,318,316,1.237,0.9039,1.37,10,10,60.0,3.73,0.3732
33,2026-01-01,2026-01-01→2026-02-01,10,10,25,1.5,328,328,1.2171,0.8862,1.37,11,11,100.0,20.06,1.8238
34,2026-02-01,2026-02-01→2026-03-01,10,10,25,1.5,339,339,1.2368,0.8962,1.38,5,5,80.0,6.1,1.2196
35,2026-03-01,2026-03-01→2026-04-01,10,10,25,1.5,345,345,1.2377,0.8896,1.39,0,0,0.0,0.0,0.0
36,2026-04-01,2026-04-01→2026-05-01,10,10,25,1.5,350,350,1.2068,0.8684,1.39,2,2,50.0,-0.11,-0.0535
37,2026-05-01,2026-05-01→2026-06-01,10,10,25,1.5,353,353,1.1994,0.8595,1.4,12,11,72.72727272727273,13.12,1.1926
38,2026-06-01,2026-06-01→2026-07-01,10,10,25,1.5,369,368,1.1962,0.852,1.4,20,20,80.0,22.85,1.1427
